 x, y, z
01168, 02248, 15864
01304, 02096, 15896
01232, 02016, 15912
01168, 02256, 15856
01200, 02152, 15936
01136, 02056, 15784
01176, 02216, 15912
01136, 02000, 15848
01216, 02104, 15904
01216, 02216, 15944
01144, 02144, 15864
01352, 02304, 15904
01264, 02040, 15984
01104, 02024, 15888
01128, 02216, 15904
01008, 02152, 15912
01272, 02184, 15832
01320, 02104, 15824
01176, 02160, 15944
01096, 02120, 15984
01288, 02016, 15824
01280, 02040, 15984
01168, 02144, 15976
01160, 02080, 16024
01160, 02280, 15712
01216, 02232, 15808
01088, 02128, 15880
01232, 02056, 15912
01224, 02080, 16048
01216, 02136, 15856
01152, 02032, 16088
01160, 02256, 15792
01208, 02008, 15736
01208, 02064, 15832
01136, 02184, 15888
01184, 02096, 15744
01152, 02112, 15912
01232, 02216, 15912
01240, 02144, 15976
01168, 02008, 15904
01144, 02064, 15776
01048, 01992, 15976
01112, 02240, 15808
01160, 02112, 15832
01232, 02184, 15872
01272, 02176, 16064
01328, 02200, 16032
01200, 02192, 15992
01184, 02008, 15992
01304, 02192, 15768
01320, 02024, 16016
01176, 02112, 15856
01224, 02048, 16112
01168, 02064, 15936
01200, 02064, 15816
01128, 02224, 15944
01112, 02224, 15912
01232, 02152, 15944
01128, 01992, 15808
01304, 01976, 15960
01240, 02008, 15824
01184, 02288, 16048
01160, 02024, 15936
01136, 02216, 15816
01216, 02088, 15912
01272, 02152, 15784
01176, 02112, 15936
01192, 02112, 15888
01240, 02144, 15904
01192, 02048, 15832
01208, 02128, 16144
01368, 02128, 15768
01232, 02128, 15704
01256, 02128, 15736
01216, 02176, 15712
01096, 02240, 15976
01064, 02168, 15888
01224, 02064, 15824
01264, 02224, 16160
01144, 02056, 15704
01048, 02184, 16064
01136, 02128, 16016
01088, 02048, 15744
01352, 02056, 15728
01272, 02024, 15720
01200, 02056, 15728
01208, 02168, 15856
01152, 02064, 15920
01176, 02152, 15864
01176, 02032, 15792
01096, 02120, 15888
01112, 02184, 15856
01144, 02152, 15896
01088, 02088, 15760
01184, 02008, 15864
01240, 02024, 15816
01232, 02040, 15912
01264, 02096, 15976
01176, 02152, 15976
01232, 02096, 15920
01112, 02128, 16016
01216, 02288, 15912
01232, 02184, 15880
01144, 02192, 15840
01256, 02152, 15912
01056, 02064, 15736
01240, 02224, 15720
01056, 02144, 15784
01144, 02144, 15840
01136, 02040, 15904
01304, 02112, 15968
01040, 02144, 16048
01328, 02136, 15936
01160, 02160, 15872
01328, 02016, 15888
01208, 02112, 16048
01256, 02144, 15888
01232, 01960, 15832
01088, 02000, 16128
01080, 02160, 15776
01072, 02176, 15936
01272, 02064, 15816
01048, 02024, 15832
01272, 02016, 15904
01176, 02248, 15944
01264, 02016, 15808
01192, 01992, 16024
01144, 02112, 15912
01192, 02136, 16032
01184, 02056, 15920
01152, 02120, 16080
01128, 02024, 15792
01384, 02168, 15888
01208, 02216, 15840
01216, 02264, 15680
01256, 02264, 15848
01192, 02056, 16032
01128, 02152, 15920
01184, 02264, 16016
01240, 02104, 15936
01128, 02184, 15792
01144, 02144, 15984
01288, 02040, 15824
01264, 01960, 15848
01136, 02080, 15776
01112, 02216, 15928
01128, 02176, 16000
01328, 02048, 15912
01152, 02040, 15712
01136, 02192, 16032
01232, 02008, 15904
01304, 02120, 15936
01216, 02136, 15944
01208, 02096, 15840
01136, 02152, 15896
01176, 02104, 16016
01192, 02096, 15848
01048, 02200, 15864
01208, 02128, 15784
01208, 01912, 15816
01200, 02176, 16160
01184, 02064, 15872
01224, 02048, 16016
01152, 02144, 16008
01192, 02144, 15896
01160, 02144, 15888
01288, 02080, 15976
01256, 02088, 16064
01232, 02168, 15920
01320, 02040, 16024
01104, 02096, 15888
01280, 02168, 15904
01200, 02192, 16000
01232, 02136, 16040
01216, 02064, 15808
01216, 02112, 15864
01240, 02128, 15888
01144, 02168, 16000
01192, 02128, 15688
01184, 02128, 15848
01080, 02200, 16008
01176, 02128, 15776
01176, 02176, 15856
01040, 02232, 15976
01144, 02008, 15680
01080, 02064, 15904
