 x, y, z
-12024, -4056, 07768
-12672, -3680, 07664
-12440, -3496, 07392
-12024, -3512, 07424
-12144, -3888, 07656
-12360, -3648, 07352
-12352, -3680, 07424
-12352, -3880, 07720
-12216, -3880, 07632
-12224, -3928, 07648
-12128, -3960, 07656
-12040, -3880, 07768
-12168, -3960, 07544
-12160, -3832, 07384
-12320, -3872, 07904
-12048, -3680, 07680
-12208, -3616, 07656
-12024, -3936, 07824
-12288, -4168, 08232
-11944, -3808, 07528
-12184, -3832, 07336
-12096, -3976, 07616
-12416, -4040, 07632
-12120, -3840, 07384
-12264, -4000, 07744
-12136, -3704, 07200
-12160, -3896, 07520
-12032, -4152, 07800
-12232, -3920, 07560
-12256, -3856, 07672
-11968, -3760, 07544
-12200, -4024, 07584
-11960, -4064, 07872
-11960, -4112, 07536
-12224, -4008, 07656
-12072, -3896, 07872
-12376, -4112, 07272
-11952, -3872, 07616
-12216, -3848, 07384
-12344, -3912, 07560
-12232, -3912, 07544
-12248, -3920, 07392
-12136, -3968, 07664
-12144, -3808, 07712
-12152, -3968, 07632
-12312, -3840, 07544
-12256, -3864, 07472
-12224, -4048, 07856
-12184, -3824, 07264
-12192, -3904, 07344
-12136, -3608, 07952
-12248, -3840, 07744
-12184, -4008, 07368
-12064, -3904, 07728
-12136, -3792, 07704
-12160, -3760, 07416
-12048, -3752, 07664
-12216, -3960, 07576
-12192, -3520, 07544
-12488, -3712, 07504
-12328, -3832, 07760
-12152, -3808, 07648
-12312, -3864, 07048
-12128, -3624, 07856
-12232, -3784, 07768
-12312, -3848, 07568
-12120, -3872, 07784
-11968, -3704, 07760
-12192, -3760, 07576
-12144, -3904, 07760
-12216, -3872, 07536
-12200, -3840, 07480
-12208, -3904, 07744
-12160, -3824, 07752
-12176, -3696, 07456
-12208, -3728, 07488
-12032, -3888, 07880
-12272, -3792, 07288
-12224, -4080, 07440
-12104, -3840, 07712
-12256, -3856, 07368
-12136, -3904, 07528
-12136, -3960, 07544
-12376, -3928, 07728
-12296, -3880, 07600
-12040, -3784, 07616
-12176, -3832, 07616
-12136, -3920, 07384
-12272, -3744, 07472
-12168, -3944, 07664
-12080, -3920, 07704
-12280, -3944, 07608
-12144, -3768, 07600
-12248, -3992, 07512
-12088, -3984, 07856
-12304, -3880, 07584
-12136, -3840, 07688
-12184, -3792, 07704
-12072, -3784, 07528
-12144, -3968, 07760
-12376, -3832, 06912
-12168, -3920, 07912
-12000, -3888, 07568
-12200, -3848, 07416
-12296, -3856, 07672
-12424, -3920, 07440
-12072, -3896, 07808
-12384, -3888, 07424
