13,00302,06,-0010,-0034
-14116,00306,05679,-0026,-0012,-0035
-14117,00313,05676,-0025,-0008,-0033
-14118,00321,05668,-0023,-0006,-0032
-14123,00330,05652,-0026,-0004,-0030
-14113,00334,05648,-0025,00000,-0030
-14109,00335,05651,-0024,00002,-0030
-14094,00340,05647,-0022,00004,-0029
-14084,00342,05644,-0025,00008,-0028
-14071,00341,05656,-0023,00008,-0027
-14061,00336,05657,-0024,00012,-0024
-14048,00335,05648,-0024,00014,-0024
-14038,00334,05646,-0025,00020,-0025
-14030,00331,05652,-0027,00020,-0026
-14021,00330,05650,-0026,00020,-0021
-14017,00328,05652,-0027,00024,-0023
-14013,00325,05655,-0027,00018,-0021
-14008,00322,05646,-0026,00020,-0023
-14012,00316,05649,-0028,00020,-0021
-14017,00311,05649,-0027,00018,-0022
-14022,00305,05645,-0028,00018,-0022
-14023,00293,05646,-0027,00024,-0021
-14024,00285,05642,-0028,00024,-0021
-14030,00277,05638,-0029,00026,-0022
-14042,00277,05644,-0027,00024,-0022
-14051,00275,05651,-0027,00026,-0023
-14057,00275,05645,-0031,00028,-0021
-14054,00273,05640,-0031,00028,-0019
-14057,00271,05644,-0030,00026,-0020
-14055,00271,05648,-0031,00028,-0019
-14051,00270,05636,-0031,00028,-0019
-14050,00271,05635,-0034,00028,-0019
-14049,00274,05634,-0036,00026,-0019
-14051,00274,05630,-0033,00026,-0019
-14051,00273,05622,-0036,00026,-0020
-14048,00276,05613,-0037,00026,-0020
-14048,00279,05598,-0036,00026,-0020
-14047,00282,05609,-0034,00024,-0019
-14049,00281,05610,-0034,00024,-0019
-14052,00286,05602,-0034,00024,-0020
-14051,00290,05598,-0033,00022,-0019
-14055,00289,05593,-0031,00020,-0020
-14057,00293,05599,-0028,00020,-0021
-14062,00294,05596,-0031,00018,-0020
-14065,00296,05591,-0028,00014,-0020
-14066,00298,05594,-0026,00012,-0025
-14068,00297,05600,-0025,00012,-0021
-14071,00298,05599,-0025,00012,-0022
-14081,00298,05596,-0025,00012,-0024
-14081,00297,05595,-0021,00014,-0021
-14084,00298,05598,-0020,00010,-0022
-14084,00297,05611,-0022,00010,-0023
-14084,00297,05613,-0019,00008,-0023
-14086,00291,05620,-0017,00002,-0027
-14081,00290,05621,-0016,00000,-0026
-14082,00282,05621,-0018,-0002,-0026
-14089,00279,05610,-0019,-0004,-0025
-14097,00271,05597,-0019,00004,-0027
-14107,00264,05579,-0017,00010,-0027
-14117,00259,05571,-0018,00018,-0024
-14132,00254,05587,-0016,00020,-0022
-14137,00251,05616,-0010,00010,-0025
-14138,00248,05647,-0007,00002,-0025
-14125,00240,05697,-0009,-0002,-0026
-14101,00228,05731,-0010,00002,-0031
-14081,00215,05740,-0012,00018,-0030
-14060,00207,05721,-0013,00048,-0028
-14051,00201,05644,-0014,00060,-0023
-14059,00204,05571,-0016,00074,-0021
-14071,00202,05536,-0020,00074,-0020
-14085,00207,05555,-0015,00068,-0018
-14088,00215,05592,-0012,00064,-0014
-14087,00233,05626,-0014,00052,-0018
-14088,00247,05646,-0019,00046,-0015
-14085,00261,05658,-0022,00038,-0015
-14088,00270,05659,-0024,00022,-0020
-14087,00266,05669,-0026,00006,-0024
-14095,00257,05680,-0025,-0006,-0028
-14101,00237,05708,-0025,-0004,-0028
-14105,00210,05755,-0030,00012,-0031
-14113,00188,05784,-0038,00030,-0031
-14117,00180,05783,-0035,00034,-0036
-14123,00186,05763,-0037,00026,-0034
-14138,00203,05726,-0034,00012,-0033
-14151,00223,05680,-0031,00004,-0033
-14166,00248,05660,-0028,-0006,-0034
-14174,00272,05658,-0027,-0012,-0031
-14175,00292,05663,-0022,-0008,-0025
-14163,00308,05670,-0016,00000,-0019
-14140,00327,05671,-0014,00008,-0016
-14117,00343,05667,-0010,00018,-0013
-14094,00350,05656,-0008,00026,-0014
-14073,00349,05651,-0014,00030,-0010
-14054,00340,05645,-0011,00028,-0007
-14037,00328,05650,-0016,00026,-0009
-14027,00306,05653,-0018,00028,-0007
-14016,00283,05657,-0019,00038,-0005
-14005,00269,05661,-0020,00050,-0007
-14000,00260,05659,-0021,00060,-0008
-14002,00247,05665,-0018,00060,-0007
-14005,00245,05664,-0018,00058,-0006
-14018,00245,05654,-0020,00056,-0008
-14039,00252,05645,-0021,00050,-0004
-14061,00263,05643,-0025,00044,-0008
-14080,00273,05637,-0028,00038,-0008
-14103,00279,05632,-0030,00032,-0005
-14129,00284,05633,-0029,00030,-0007
-14147,00282,05633,-0031,00028,-0008
-14163,00280,05636,-0031,00028,-0011
